input,output
"['locationArea | Long_Island', 'timePoint | Halloween']",The National Weather Service has issued a hazardous weather outlook for Halloween on Long Island.
"['gustAmount | gusts', 'gustVelocity | 50_mph', 'timePoint | from_8_p.m._Thursday_until_6_a.m._Friday', 'windAmount | wind']",A wind advisory will be in effect from 8 p.m. Thursday until 6 a.m. Friday with gusts up to 50 mph possible.
['windAmount | Strong'],"Strong winds may blow down limbs, trees and power lines."
"['timePoint | through_the_day_on_Thursday', 'weatherOccurringChance | likely', 'weatherType | Showers']","Showers are likely through the day on Thursday, but there is some hope for trick-or-treaters."
"['timePoint | afternoon_and_evening', 'weatherIntensity | mostly', 'weatherType | dry']","Some weather models suggest that the afternoon and evening could be mostly dry, the weather service says."
"['timePoint | 3_p.m._to_10_p.m.', 'weatherOccurringChance | 50_percent', 'weatherType | rain']",There's about a 50 percent chance of rain from 3 p.m. to 10 p.m.
"['timePoint | late_Thursday_night_until_around_sunrise_Friday', 'weatherOccurringChance | possible', 'weatherType | rain', 'weatherType | thunderstorm']","The bulk of the rain, along with a possible thunderstorm, is expected late Thursday night until around sunrise Friday."
"['temperatureCelsius | mid-60s', 'timePoint | throughout_the_afternoon_and_evening_Thursday']",The temperature will remain steady in the mid-60s throughout the afternoon and evening Thursday.
"['locationArea | southern_Nassau_County', 'timePoint | from_8_a.m._until_1_p.m._Thursday', 'weatherType | flood']",A coastal flood advisory will be in effect for southern Nassau County from 8 a.m. until 1 p.m. Thursday.
"['locationArea | in_the_most_vulnerable_locations_near_the_waterfront_and_shoreline', 'weatherIntensity | Shallow', 'weatherType | flooding']",Shallow flooding is expected in the most vulnerable locations near the waterfront and shoreline.
"['locationArea | BRITAIN', 'timePoint | month', 'weatherIntensity | heavy', 'weatherType | flooding', 'weatherType | rain', 'weatherType | showers', 'weatherType | thunderstorms']",BRITAIN could be hit by a month of rain as more heavy showers and thunderstorms are expected which could lead to flooding and travel chaos.
"['locationArea | across_the_northwest_of_the_UK', 'timePoint | Monday', 'timePoint | in_the_morning', 'weatherIntensity | heavy', 'weatherType | showers', 'windAmount | breezy']",Monday will see heavy showers particularly across the northwest of the UK with breezy weather in the morning.
"['locationArea | across_northern_Scotland', 'weatherIntensity | heavy', 'weatherType | rain']",A band of heavy rain will also move across northern Scotland which will lead to some difficult driving conditions.
"['locationArea | Northern_Ireland', 'locationArea | Southern_Scotland', 'weatherIntensity | scattering', 'weatherType | brighter', 'weatherType | showers']",Southern Scotland and Northern Ireland will be brighter with a scattering of showers.
"['cloudAmount | cloudy', 'locationArea | Wales', 'locationArea | southwest_England', 'locationArea | towards_the_southeast', 'timePoint | in_the_morning', 'weatherFrequency | outbreaks', 'weatherIntensity | heavy', 'weatherIntensity | mostly', 'weatherType | dry', 'weatherType | rain']",Wales will be mostly dry along with southwest England but there will be cloudy skies towards the southeast with outbreaks of heavy rain in the morning.
"['compassDirection | southeast', 'timePoint | through_the_morning_and_into_the_afternoon', 'weatherIntensity | Heavy', 'weatherType | rain']",Met Office meteorologist Greg Dewhurst said: “Heavy rain will slowly push its way southeast through the morning and into the afternoon.
"['locationArea | Elsewhere_across_the_UK', 'timePoint | for_the_day', 'weatherIntensity | scattered', 'weatherType | showers', 'weatherType | sunshine']",“Elsewhere across the UK for the day it will be a case of sunshine and scattered showers.
"['locationArea | across_parts_of_Northern_Ireland', 'locationArea | into_Scotland', 'weatherIntensity | heaviest', 'weatherType | Showers']",“Showers will be heaviest across parts of Northern Ireland and into Scotland.
"['weatherArea | localised', 'weatherIntensity | heavy', 'weatherIntensity | some', 'weatherIntensity | torrential', 'weatherOccurringChance | perhaps', 'weatherType | downpours', 'weatherType | flooding', 'weatherType | hail', 'weatherType | thunder']","Some of these could be torrential with heavy downpours, some hail and thunder with perhaps some localised flooding which could lead to some tricky driving conditions."
"['locationArea | north', 'locationArea | southeast', 'locationArea | west', 'maximumTemperature | 24C', 'maximumTemperature | 25C.', 'temperatureCelsius | 19C', 'temperatureCelsius | 21C', 'temperatureHotCold | fresher']",The north and the west can expect a fresher day with temperatures dropping to 19C to 21C with the southeast seeing highs of 24C or 25C.
"['locationArea | in_the_north', 'timePoint | Monday_evening', 'weatherType | showers']",Monday evening will continue with showers particularly in the north.
"['compassDirection | north', 'windAmount | brisk', 'windDirection | southwesterly']",A brisk southwesterly wind will also push its way north.
"['locationArea | east', 'locationArea | south', 'weatherChange | ease', 'weatherType | showers']","However, showers will ease towards the south and the east."
['timePoint | new_working_week'],Mr Dewhurst added: “The new working week is generally an unsettled one.
"['weatherIntensity | heavy', 'weatherType | showers']",“Low pressure will stay in charge with further heavy showers.
"['timePoint | Friday', 'timePoint | Thursday', 'weatherFrequency | brief', 'weatherType | respite', 'weatherType | wet', 'windAmount | windy']",“Perhaps a brief respite into Thursday before further wet and windy weather spreads in for Friday.”
"['timePoint | early_on_Saturday', 'weatherIntensity | heavy', 'weatherType | rain']","Forecasters predict ""heavy rain"" early on Saturday"
"['locationArea | Ireland', 'timePoint | tomorrow', 'windAmount | stormy']",A Status Yellow weather warning remains in place as Ireland is set to be battered by stormy conditions tomorrow.
"['locationArea | Cork', 'locationArea | Kerry', 'timePoint | starting_from_6pm_on_Friday', 'timePoint | until_6am_on_Saturday']",The alert is in place for Cork and Kerry starting from 6pm on Friday and remaining in force until 6am on Saturday.
"['locationArea | on_the_southwest_coast', 'weatherOccurringChance | potential', 'windAmount | stormy']","The warning highlights the potential for ""stormy conditions"" on the southwest coast."
"['locationArea | across_the_country', 'timePoint | early_on_Saturday', 'timePoint | weekend', 'weatherIntensity | heavy', 'weatherType | rain', 'weatherType | wet']","And a wet weekend is in store across the country as forecasters predict ""heavy rain"" early on Saturday."
"['timePoint | Sunday', 'weatherChange | briefly_clear', 'weatherFrequency | occasional', 'weatherFrequency | spells', 'weatherType | sunny', 'weatherType | wet', 'windAmount | windy']","This will briefly clear with occasional sunny spells, but more wet and windy weather is expected on Sunday."
"['cloudAmount | mostly_cloudy', 'locationArea | Leinster', 'locationArea | Ulster', 'timePoint | Friday_morning', 'weatherChange | spreading', 'weatherType | rain']","A Met Eireann forecaster said: ""Friday morning will be mostly cloudy with rain spreading over Leinster and Ulster."
"['compassDirection | west', 'timePoint | In_the_afternoon', 'weatherChange | spread', 'weatherType | rain', 'windChange | strengthening', 'windDirection | southerly']","In the afternoon, more rain will spread from the west with strengthening southerly winds."
"['gustAmount | gusty', 'locationArea | in_west_and_south_Munster', 'timePoint | In_the_evening', 'windAmount | very_strong', 'windAmount | very_windy_or_stormy', 'windDirection | west_to_northwest']","""In the evening it will become very windy or stormy in west and south Munster, with very strong, gusty west to northwest winds."
"['maximumTemperature | 10', 'maximumTemperature | 12C.']","""Highest temperatures of 10 to 12C."
"['timePoint | later_on_Saturday', 'weatherChange | clear', 'weatherFrequency | spells', 'weatherIntensity | heavy', 'weatherIntensity | scattered', 'weatherType | rain', 'weatherType | showers', 'weatherType | sunny']","""Current indications are for heavy rain to clear later on Saturday to scattered showers with sunny spells."
"['gustAmount | gusty', 'maximumTemperature | 11C', 'maximumTemperature | 9', 'windAmount | moderate', 'windAmount | strong', 'windDirection | northwesterly']","""It will turn cooler with highest temperatures of 9 to 11C, as strong and gusty northwesterly winds moderate."
"['locationArea | across_the_country', 'timePoint | Sunday', 'weatherType | wet', 'windAmount | windy']","""A further spell of wet and windy weather is set to sweep across the country on Sunday."
"['maximumTemperature | 11', 'maximumTemperature | 13C.']","""Highest temperatures of 11 to 13C."""
"['cloudAmount | Partly_cloudy', 'timePoint | Monday_night']",Monday night: Partly cloudy.
['minimumTemperature | 60'],Low around 60.
"['cloudAmount | Partly_cloudy', 'locationArea | Cape_Cod', 'locationArea | west', 'timePoint | Tuesday', 'timePoint | early_on', 'weatherOccurringChance | chance', 'weatherType | shower']","Tuesday: Partly cloudy, chance shower west and early on Cape Cod."
['maximumTemperature | 80s'],Highs in the 80s.
"['timePoint | Thursday_into_Friday', 'weatherOccurringChance | risk', 'weatherType | snowfall', 'weatherType | thunderstorm']","The Vancouver weather forecast called for snowfall to continue through Thursday into Friday, but now it also calls for a risk of a thunderstorm, too."
"['timePoint | Thursday_into_Friday', 'weatherOccurringChance | risk', 'weatherType | snowfall', 'weatherType | thunderstorm']","The Vancouver weather forecast called for snowfall to continue through Thursday into Friday, but now it also calls for a risk of a thunderstorm, too."
"['timePoint | throughout_the_day_on_Thursday,_March_7', 'weatherOccurringChance | 60_per_cent', 'weatherType | flurries', 'weatherType | rain_showers']","Environment Canada calls for a 60 per cent chance of rain showers or flurries throughout the day on Thursday, March 7."
"['timePoint | this_afternoon', 'weatherOccurringChance | Risk', 'weatherType | thunderstorm']","However, it also calls for a, ""Risk of a thunderstorm this afternoon."""
"['snowAmount | 2_cm', 'weatherArea | local', 'weatherType | snowfall']","In addition, the forecast notes that there may be local snowfall accumulations of up to 2 cm."
"['minimumTemperature | minus_two', 'timePoint | early', 'timePoint | evening', 'weatherOccurringChance | 30_per_cent', 'weatherType | rain_showers', 'weatherType | wet_flurries']","Following this, the evening forecast calls for a 30 per cent chance of rain showers or wet flurries early with a low of minus two."
"['temperatureCelsius | minus_four', 'temperatureHotCold | frigid', 'timePoint | overnight', 'windSpeedBft | 15_km/hr']","Further, the forecast calls for winds of up to 15 km/hr that will produce a frigid minus four overnight."
"['cloudAmount | cloud', ""timePoint | Friday's"", 'weatherOccurringChance | no_longer', 'weatherType | snowfall', 'weatherType | sun']","Friday's forecast calls for a mix of sun and cloud, but no longer includes a chance of snowfall."
"['maximumTemperature | eight_degrees', 'maximumTemperature | seven', 'timePoint | Saturday_and_Sunday', 'weatherType | clear', 'weatherType | sunny']","Saturday and Sunday are expected to be clear and sunny, with highs of seven and eight degrees respectively."
"['temperatureHotCold | coldest', 'timePoint | February', 'timePoint | February_2019']",February 2019 was the coldest February on record in Metro Vancouver since the records began in 1937.
"['temperatureHotCold | frigid', 'timePoint | throughout_the_month']","Not only did the month see some frigid temperatures, but they also persisted throughout the month."
"['temperatureHotCold | coldest', 'timePoint | February', 'weatherType | snowfall']","Although February saw the coldest temperatures to date, it also saw some of the greatest amounts of snowfall."
"['locationArea | YVR', 'snowAmount | 31.2_cm', 'timePoint | February', 'weatherType | snowfall']","In fact, 31.2 cm of snowfall was recorded at YVR, making it the eighth snowiest February on record."
"['locationArea | Himachal_Pradesh', 'locationArea | Jammu', 'locationArea | Kashmir', 'locationArea | New_Delhi', 'timePoint | During_the_next_24_hours', 'timePoint | Jan_18', 'timePoint | from_Friday_afternoon_onward', 'weatherIntensity | scattered_light_to_moderate', 'weatherType | rain', 'weatherType | snow']","New Delhi, Jan 18: During the next 24 hours, scattered light to moderate rain and snow will commence over Jammu and Kashmir and Himachal Pradesh from Friday afternoon onward."
"['weatherChange | increase_gradually', 'weatherIntensity | intensity']","According to Skymet weather, the intensity of these activities will increase gradually."
"['locationArea | rest_country', 'weatherType | dry']",Weather of rest country will remain dry.
"['cloudAmount | cloud', 'locationArea | Himachal_Pradesh', 'locationArea | Kashmir', 'locationArea | northern_plains', 'locationArea | over_many_parts_of_Jammu', 'temperatureCelsius | 2℃', 'temperatureCelsius | 4℃', 'temperatureChange | fall', 'weatherArea | isolated', 'weatherType | fog', 'weatherType | rain']",Day temperatures will fall by 2℃ to 4℃ over many parts of Jammu and Kashmir and Himachal Pradesh due to cloud cover and rain whereas in isolated pockets of northern plains due to persistence of fog.
"['timePoint | by_the_later_part_of_Sunday,_i.e._January_20_onward', 'weatherType | snow']","An active Western Disturbance is all set to give widespread rain and snow by the later part of Sunday, i.e. January 20 onward."
['locationArea | Rajasthan'],This weather system would induce a Cyclonic Circulation over Rajasthan.
['timePoint | Monday’s'],"If you bemoaned that Monday’s weather felt more like summer than the first day of fall, Mother Nature heard you."
"['maximumTemperature | 70’s', 'temperatureCelsius | more_than_ten_degrees_cooler', 'timePoint | Monday', 'timePoint | Tuesday’s', 'weatherChange | fall']","Tuesday’s high temperatures are predicted to fall to the 70’s, more than ten degrees cooler than those on Monday."
"['locationArea | Cape', 'locationArea | Islands', 'timePoint | by_late_morning', 'weatherChange | subside', 'weatherIntensity | some', 'weatherType | showers']",The day may start with some showers on the Cape and Islands that should subside by late morning.
"['locationArea | Northern_and_Western_Massachusetts', 'weatherIntensity | scattered', 'weatherIntensity | some', 'weatherType | rainfall', 'weatherType | showers']","Any rainfall after that will be scattered, with Northern and Western Massachusetts the most likely targets for some showers."
"['cloudAmount | clouds', 'minimumTemperature | 50’s', 'timePoint | as_the_day_goes_on', 'timePoint | evening', 'weatherOccurringChance | lessen', 'weatherType | rain']","The chance of clouds and rain will lessen as the day goes on, ending with evening low temperatures in the 50’s."
"['timePoint | Wednesday_night', 'weatherIntensity | torrential', 'weatherType | rain', 'windAmount | Windswept']","Wednesday night:  Windswept, torrential rain."
['minimumTemperature | 50'],Lows around 50.
"['timePoint | Thursday', 'weatherIntensity | heavy', 'weatherType | rain', 'windAmount | Windswept']","Thursday: Windswept, heavy rain."
"['gustAmount | gusts', 'gustVelocity | 45_mph', 'locationArea | higher_Cape', 'windDirection | northeast']","Some power outages with northeast gusts to 45 mph, higher Cape."
['maximumTemperature | 50s'],Highs in the 50s.
"['temperatureHotCold | warm', 'weatherOccurringChance | risk', 'weatherType | showers', 'weatherType | thunderstorm']","The Metro Vancouver weather forecast includes a risk of a thunderstorm and showers after a long stretch of warm, record-breaking temperatures."
"['temperatureHotCold | warm', 'weatherType | showers', 'weatherType | thunderstorm']","The Metro Vancouver weather forecast includes a risk of a thunderstorm and showers after a long stretch of warm, record-breaking temperatures."
"['cloudAmount | mainly_cloudy', 'timePoint | Tuesday,_March_26', 'timePoint | this_morning', 'weatherChange | ending', 'weatherIntensity | few', 'weatherOccurringChance | 40_percent', 'weatherOccurringChance | risk', 'weatherType | showers', 'weatherType | showers', 'weatherType | thunderstorm']","Environment Canada calls for Tuesday, March 26 to see, ""a few showers ending this morning then mainly cloudy with 40 percent chance of showers."" In addition, the forecast calls for a risk of a thunderstorm during the day, too."
"['timePoint | in_the_evening', 'weatherChange | clear']","However, the sky is expected to clear in the evening."
"['maximumTemperature | 13°C', 'timePoint | Wednesday', 'weatherType | bright', 'weatherType | sunny']","Following this, the forecast calls for Wednesday to be sunny and bright with a high of 13°C."
"['temperatureHotCold | warm', 'timePoint | through_the_week_until_Saturday', 'weatherType | sunshine']","Further, the sunshine and warm weather is expected to carry through the week until Saturday."
"['temperatureHotCold | warm', 'timePoint | Sunday_and_Monday', 'weatherOccurringChance | chance', 'weatherType | showers']",Sunday and Monday are expected to be warm with a chance of showers.
"['locationArea | across_B.C.', 'maximumTemperature | 26°C', 'temperatureChange | soaring', 'timePoint | Wednesday,_March_20']","On Wednesday, March 20, a jaw-dropping 48 weather records were broken across B.C. What’s more, some areas saw soaring highs of nearly 26°C."
"['locationArea | Agassiz_Area', 'temperatureCelsius | 21.7°C', 'temperatureCelsius | 25.8°C']","For example, the Agassiz Area broke its old record of 21.7°C set in 1915 with a summery high of 25.8°C."
"['locationArea | Squamish_Area', 'maximumTemperature | 25.9°C', 'temperatureCelsius | 21°C', 'temperatureHotCold | toasty']","Likewise, the Squamish Area broke its old record of 21°C set in 1999 with a toasty 25.9°C daily high."
"['locationArea | in_the_alpine_regions', 'temperatureHotCold | warmer', 'weatherOccurringChance | heightened_threat', 'weatherType | flooding', 'weatherType | snow']","The Weather Network has updated its spring forecast for the province, and it calls for warmer weather as well as, “a heightened threat for flooding from rapid snow melt in the alpine regions.”"
"['timePoint | afternoon', 'timePoint | morning', 'weatherIntensity | largely', 'weatherIntensity | widespread', 'weatherType | dry', 'weatherType | showers']","While the morning will be largely dry, the afternoon will see widespread showers"
"['locationArea | Casement_Aerodrome', 'locationArea | Ireland', 'locationArea | Shannon_Airport', 'locationArea | north_county_Dublin', 'temperatureCelsius | 18.6C', 'temperatureCelsius | 18.8C', 'temperatureHotCold | balmy', 'timePoint | yesterday', 'weatherType | sun']",Ireland soaked up the sun yesterday with temperatures reaching a balmy 18.8C at Casement Aerodrome in north county Dublin and 18.6C at Shannon Airport.
"['temperatureCelsius | 18C', 'weatherType | rain']",We'll see similar highs of up to 18C today but unfortunately the rain won't be fair behind.
"['timePoint | afternoon', 'timePoint | morning', 'weatherIntensity | largely', 'weatherIntensity | widespread', 'weatherType | dry', 'weatherType | showers']","While the morning will be largely dry, the afternoon will see widespread showers."
"['locationArea | elsewhere', 'locationArea | in_the_west_and_northwest', 'timePoint | this_morning', 'weatherFrequency | spells', 'weatherIntensity | Scattered', 'weatherIntensity | largely', 'weatherType | dry', 'weatherType | showers', 'weatherType | sunny']","A forecaster said: ""Scattered showers in the west and northwest this morning but largely dry elsewhere with sunny spells."
"['locationArea | across_the_country', 'maximumTemperature | 15C', 'maximumTemperature | 18C', 'timePoint | this_afternoon', 'weatherIntensity | few_heavy', 'weatherOccurringChance | possible', 'weatherType | Showers', 'weatherType | downpours', 'windAmount | moderate_to_fresh', 'windDirection | southwest']","""Showers will become fairly widespread across the country this afternoon with a few heavy downpours possible. Highest temperatures of 15C to 18C in moderate to fresh southwest breezes."""
"['timePoint | tomorrow', 'weatherIntensity | heavy', 'weatherType | showers', 'weatherType | thundery']","And Met Eireann warned that we could see ""heavy and thundery"" showers tomorrow."
"['timePoint | Thursday', 'weatherIntensity | heavy', 'weatherIntensity | scattered', 'weatherType | Sunshine', 'weatherType | showers', 'weatherType | showers', 'weatherType | thundery']","A forecaster said: ""Sunshine and scattered showers on Thursday, some of the showers heavy and thundery in nature."
"['maximumTemperature | 13C', 'maximumTemperature | 17C', 'timePoint | evening', 'weatherArea | isolated', 'weatherChange | increasingly', 'weatherType | showers', 'windAmount | moderate', 'windDirection | southwest', 'windDirection | west']","""The showers will become increasingly isolated by evening. Highest temperatures of 13C to 17C in moderate southwest or west winds."""
"['temperatureCelsius | 21C', 'temperatureChange | soar', 'timePoint | Saturday', 'weatherType | showery']",The showery conditions will persist as the week goes on but forecasters revealed temperatures could soar to as high as 21C on Saturday.
"['cloudAmount | cloud', 'locationArea | in_many_areas', 'timePoint | in_the_afternoon', 'timePoint | to_start_the_day_on_Friday', 'weatherIntensity | few', 'weatherType | showers', 'weatherType | sunshine']","Met Eireann said: ""Good sunshine to start the day on Friday but cloud will build up in many areas in the afternoon and there is the chance of a few showers breaking out."
"['maximumTemperature | 16C', 'maximumTemperature | 19C', 'windAmount | moderate', 'windDirection | southerly']","""Top temperatures of 16C to 19C in moderate southerly winds."
"['timePoint | overnight', 'weatherArea | isolated', 'weatherIntensity | Largely', 'weatherType | dry', 'weatherType | showers']",Largely dry overnight but a few isolated showers.
"['minimumTemperature | 12C', 'minimumTemperature | 9C', 'windAmount | moderate', 'windDirection | southerly']",Lows of 9C to 12C in moderate southerly breezes.
"['timePoint | Saturday', 'weatherFrequency | spells', 'weatherIntensity | hazy', 'weatherIntensity | mostly', 'weatherType | dry', 'weatherType | sunshine']","""It looks set to be mostly dry on Saturday with spells of hazy sunshine."
"['maximumTemperature | 17C', 'maximumTemperature | 21C', 'temperatureHotCold | Warm', 'weatherType | humid', 'windAmount | moderate', 'windDirection | southeast']",Warm and humid with highest temperatures of 17C to 21C in moderate southeast winds.
"['locationArea | in_the_south', 'locationArea | most_areas', 'locationArea | west', 'minimumTemperature | 11C', 'minimumTemperature | 14C.', 'timePoint | later_on', 'timePoint | overnight', 'weatherChange | extending', 'weatherType | Humid', 'weatherType | Showery_rain', 'weatherType | overnight']","""Showery rain will develop in the south and west overnight, extending to most areas later on. Humid overnight with lowest temperatures 11C to 14C."""
"['timePoint | at_the_start_of_December', 'timePoint | upcoming_week', 'weatherIntensity | great_deal', 'weatherOccurringChance | chance', 'weatherType | flurries', 'weatherType | rainfall']","While the Metro Vancouver weather forecast called for a chance of flurries at the start of December, the upcoming week calls for a great deal of rainfall."
"['maximumTemperature | 7_C', 'timePoint | Monday,_Dec._9', 'timePoint | during_the_day', 'weatherType | sunshine']","Starting Monday, Dec. 9, however, Environment Canada calls for sunshine and a high of 7 C during the day."
"['cloudAmount | clear', 'temperatureCelsius | 1C.', 'temperatureChange | dip', 'temperatureHotCold | chilly', 'timePoint | evening', 'weatherIntensity | somewhat']","Since the skies will be somewhat clear, the evening is expected to dip down to a chilly 1C."
"['maximumTemperature | 7C', 'minimumTemperature | 6C', 'temperatureHotCold | milder', 'timePoint | Tuesday’s', 'timePoint | overnight', 'weatherType | showers']","Following this, Tuesday’s forecast calls for showers and a high of 7C with a far milder low of 6C overnight."
"['temperatureHotCold | mild', 'timePoint | Wednesday,_Thursday_and_Friday', 'weatherType | wet']","Wednesday, Thursday and Friday are also expected to be mild and wet."
"['cloudAmount | cloud', 'maximumTemperature | 6C', 'temperatureCelsius | -1C.', 'temperatureChange | dip', 'timePoint | On_Saturday', 'timePoint | evening', 'weatherType | rainfall', 'weatherType | respite', 'weatherType | sun']","On Saturday, the forecast calls for a day’s respite from the rainfall with a mix of sun and cloud and a high of 6C; the evening is expected to dip down to -1C."
"['timePoint | Sunday', 'weatherOccurringChance | 60_per_cent', 'weatherType | showers']",Sunday is expected to see a 60 per cent chance of showers.
"['locationArea | British_Columbia', 'temperatureHotCold | milder', 'timePoint | Back_in_September', 'timePoint | December']","Back in September, the Weather Network predicted that British Columbia would have a milder winter, but that December was a “wild card.”"
"['locationArea | across_much_of_Northern_B.C.', 'locationArea | along_the_B.C._coast', 'locationArea | northeastern_B.C.', 'locationArea | southern_interior', 'temperatureHotCold | milder', 'temperatureHotCold | near_normal']","Since then, the winter forecast has been updated to include the most recent prediction, which calls for milder temperatures along the B.C. coast and across much of Northern B.C. While northeastern B.C. to the southern interior will see near normal temperatures."
"['locationArea | north_coast_region', 'locationArea | south_coast_region', 'weatherType | drier', 'weatherType | rainfall', 'weatherType | snow']","While the north coast region is “expected to see above average rainfall and alpine snow,” the south coast region is expected to be drier than normal."
['weatherType | dry'],"With this in mind, the forecast adds that this dry pattern may break at times during the season."
"['locationArea | Lower_Mainland', 'timePoint | five_to_10_days', 'weatherType | precipitation']","During these breaks, the Lower Mainland could have the “potential to see several weeks’ worth of precipitation in just five to 10 days.”"
