input,output
"['fielderName | Dustin_Pedroia', 'fielderName | Hanley_Ramirez', 'fielderPosition | Left_fielder', 'fielderPosition | second_baseman', 'matchDate | bruised_left_hand', 'matchDate | right_hamstring_tightness', 'pitchResult | single', 'runNumber | two-run', 'scoreTally | tiebreaking']","Left fielder Hanley Ramirez left with a bruised left hand and second baseman Dustin Pedroia limped off after his tiebreaking, two-run single with right hamstring tightness."
"['gameNumber | eight', 'gameNumber | six-game', ""teamName | Boston's"", 'teamName | Orioles', 'winLossRecord | fifth', 'winLossType | losing', 'winLossType | win']",It was Boston's fifth win in eight games and snapped its six-game losing streak to the Orioles.
"['gameNumber | 16', 'hasLostTeam | Baltimore', 'winLossRecord | fourth', 'winLossType | lost']",Baltimore lost for just the fourth time in its last 16.
"['hitNumber | eight', 'inningsPitched | seven', 'pitcherName | Buchholz', 'pitcherRecord | 5-6', 'runNumber | one', 'strikeOutNumber | seven', 'walkNumber | one']","Buchholz (5-6) worked seven solid innings, giving up one run on eight hits, striking out seven and walking one."
"['inningNumber | eighth', 'outNumber | three', 'pitchNumber | side', 'pitchResult | struck_out', 'pitcherName | Junichi_Tazawa', 'pitcherName | Koji_Uehara']",Junichi Tazawa struck out the side in the eighth before Koji Uehara got the final three outs.
"['fielderName | Pedroia', 'fielderName | Ramirez']",The attention turned to Ramirez and Pedroia after the game.
"['pitcherName | Bud_Norris', 'pitcherRecord | 2-6', 'scoreTally | 1-0', 'teamName | Red_Sox', 'unearnedRunsNumber | five']","Trailing 1-0, the Red Sox scored five unearned runs off Bud Norris (2-6)."
"['RBI | single', ""batterName | Mookie_Betts'"", ""batterName | Pedroia's"", 'pitchResult | single', 'runNumber | two-run']",Mookie Betts' RBI single tied it before Pedroia's two-run single pushed them ahead.
"['baseNumber | first', 'batterName | Pedroia', 'injuryType | right_leg_in_the_hamstring_area']","After Pedroia rounded first, he grabbed his right leg in the hamstring area."
"['batterName | Ortiz', 'pitchResult | homer', 'strikeTrajectory | into_the_first_row_of_the_center-field_bleachers']",Ortiz followed with his homer into the first row of the center-field bleachers.
"['inningsPitched | sixth', 'pitcherName | Norris']",Norris was pulled in the sixth.
['pitcherName | Buchholz'],That was more than enough runs the way Buchholz was pitching.
"['baseNumber | first', 'baseNumber | second', ""batterName | Xander_Bogaerts'"", 'fielderName | Ramirez', 'inningNumber | fifth', 'pitchResult | hit-and-run', 'strikingType | line_drive']","In the fifth, Ramirez was running between first and second on a hit-and-run when Xander Bogaerts' line drive hit his hand."
"['batterName | Bogaerts', 'pitchResult | single']","By rule, he was out and Bogaerts was credited with a single."
"['RBI | single', ""batterName | Davis'"", 'inningNumber | sixth', 'scoreTally | 1-0', 'teamName | Orioles']",The Orioles had jumped ahead 1-0 on Davis' RBI single in the sixth.
"['batterName | Pedro_Strop', 'fielderName | Anthony_Rizzo', 'matchDate | Friday_night']",MILWAUKEE --  Anthony Rizzo was grateful for Pedro Strop on Friday night.
"['batterName | Rizzo', 'teamName | Chicago_Cubs']","An obscure rule confused Rizzo and cost the Chicago Cubs a run, but the bullpen managed to secure the road win."
"['batterName | Chris_Coghlan', 'batterName | Javier_Baez', 'battingLineupNumber | leadoff', 'finalScore | 6-4', 'gameNumber | second', 'hasLostTeam | Milwaukee_Brewers', 'hasWonTeam | Cubs', 'hitNumber | three-hit', 'inningNumber | first', 'pitchResult | homer']","Chris Coghlan hit a leadoff homer in the first and Javier Baez had his second career three-hit game, leading the Cubs to a 6-4 victory over the Milwaukee Brewers."
"['inningNumber | eighth', 'managerName | Rick_Renteria', 'teamName | Cubs']",The odd play occurred in the eighth inning and resulted in Cubs manager Rick Renteria being ejected.
"['batterName | Carlos_Gomez', 'pitchResult | hit', 'pitcherName | Strop', ""pitcherName | right-hander's"", 'strikeTrajectory | third', 'strikingType | on_the_ground', 'umpireName | Jeff_Nelson', 'umpireType | Second_base_umpire']","Second base umpire Jeff Nelson called a balk on Strop, but Carlos Gomez hit the right-hander's pitch on the ground to third."
"['baseNumber | first', 'fielderName | Rizzo']","When Rizzo heard the balk call, he didn't cover first base."
"['baseNumber | third', 'batterName | Gomez', 'fielderName | Luis_Valbuena', 'pitchResult | single']",Luis Valbuena held the ball at third and Gomez reached on a single.
"['baseNumber | first', 'pitchResult | hit']","Usually the ball is dead on a balk, but the rule has one key exception: ""Unless the batter reaches first on a hit, an error, a base on balls, a hit batter, or otherwise, and all other runners advance at least one base, in which case the play proceeds without reference to the balk."""
['managerName | Ron_Roenicke'],Milwaukee manager Ron Roenicke said his team is taught to swing at all pitches on balk calls.
"['managerName | Renteria', 'pitcherName | Strop']",Renteria argued whether Strop had balked and was ejected.
"['batterName | Rickie_Weeks', 'onBaseNumber | on_the_corners', 'outNumber | one', 'pitchResult | run-scoring', 'scoreTally | 6-4', 'strikingType | groundout', 'teamName | Brewers']","The Brewers had runners on the corners and one out, and Rickie Weeks hit a run-scoring groundout to make it 6-4."
"['batterName | Ryan_Braun', 'pitchResult | struck_out']",Ryan Braun then struck out to end the inning.
"['batterHitsTries | 2_for_18', 'onBaseNumber | 11', 'teamName | Milwaukee']",Milwaukee went 2 for 18 with runners in scoring position and left 11 men on base.
"['batterHitsTries | 3_for_4', 'batterName | Jean_Segura', 'homeRunNumber | fifth', 'pitchResult | homer']",Jean Segura went 3 for 4 with his fifth homer.
"['matchDate | 1970', 'teamName | Brewers', 'teamName | Milwaukee', 'teamName | Seattle_Pilots', 'winLossRecord | 24th_time_in_34_games', 'winLossType | lost']","The Brewers lost for the 24th time in 34 games on a day the team said it would retire uniform No. 1 to honor retiring Commissioner Bud Selig, who bought the Seattle Pilots out of bankruptcy and moved them to Milwaukee in 1970."
